Countrcode_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,CH4,bio,0.000322084,0.00032909,0.00035196,0.000328877,0.00039285,0.000306882,0.00030828,0.000316508,0.000293419,0.000291827,0.000348195,0.000335526,0.000401281,0.00071143,0.00074912,0.000891239,0.000731624,0.00075273,0.000928999,0.000976683,0.00101367,0.00101367
ABW,Aruba,1.A.2,Manufacturing Industries and Construction,CH4,bio,0.001350307,0.001379678,0.001554992,0.001488352,0.001639851,0.001440072,0.001461396,0.001403346,0.001310925,0.001297027,0.002422562,0.003294736,0.002956959,0.002065971,0.002067016,0.002213598,0.00235595,0.002877866,0.002285434,0.002357465,0.002513208,0.002513208
ABW,Aruba,1.A.4,Residential and other sectors,CH4,bio,0.003861427,0.003960976,0.004000889,0.004077745,0.004129035,0.004262202,0.004286369,0.004063325,0.004305652,0.005399514,0.006998692,0.013014378,0.013824496,0.012871021,0.014355882,0.012984469,0.014026822,0.013959588,0.014064361,0.010885573,0.016768604,0.016768604
ABW,Aruba,1.A.5,Non-Specified,CH4,bio,0.001844711,0.001900393,0.001968873,0.002076565,0.002485851,0.002478005,0.002585488,0.002785901,0.000940738,0.003235267,0.003383029,0.004465821,0.004678275,0.004692388,0.005012845,0.005642234,0.005374688,0.005613624,0.005825256,0.005671361,0.00654709,0.00654709
ABW,Aruba,1.B.1,Solid Fuels,CH4,bio,0.012577774,0.012818672,0.015074904,0.015275497,0.015431747,0.016770225,0.017971315,0.017895778,0.017989795,0.019055485,0.026833522,0.062745541,0.064705897,0.059230506,0.063548468,0.065383043,0.061914218,0.06346385,0.064290874,0.067368391,0.070344505,0.070344505
ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,CH4,fossil,0.006802847,0.007035516,0.007526567,0.009937212,0.010321035,0.010754827,0.010503889,0.010785935,0.010454896,0.011035404,0.011770628,0.011187062,0.013414988,0.012889001,0.013037567,0.013285631,0.013035602,0.011153654,0.010928884,0.011208106,0.00925,0.010305541
ABW,Aruba,1.A.2,Manufacturing Industries and Construction,CH4,fossil,0.002590025,0.002351007,0.002425513,0.002533714,0.003010297,0.002314441,0.002122273,0.002099854,0.001829035,0.00189656,0.001952104,0.002322836,0.004801919,0.00444763,0.004977152,0.004705895,0.004165536,0.003794455,0.004239963,0.004370718,0.003633063,0.004041208
ABW,Aruba,1.A.3.a,Civil Aviation,CH4,fossil,5.17198E-05,5.19926E-05,4.61808E-05,6.13377E-05,8.13184E-05,8.9504E-05,8.95651E-05,9.03338E-05,9.22208E-05,8.93471E-05,2.83438E-05,3.44688E-05,4.80055E-05,4.2049E-05,4.04057E-05,4.36805E-05,4.43152E-05,4.25328E-05,4.38087E-05,4.51684E-05,2.18977E-05,2.50203E-05
ABW,Aruba,1.A.3.b_noRES,Road Transportation no resuspension,CH4,fossil,0.071496196,0.071543076,0.06193984,0.07321826,0.076501444,0.083641094,0.074275658,0.072871206,0.066213293,0.076654806,0.069419732,0.064611136,0.077015072,0.077486333,0.079386506,0.076232526,0.071123743,0.069668339,0.073501271,0.075782424,0.062542897,0.069679826
ABW,Aruba,1.A.3.d,Water-borne Navigation,CH4,fossil,0.000232514,0.000233741,0.000257904,0.000275791,0.000280758,0.000191462,0.00023617,0.000228277,0.000215108,0.000225762,0.000273168,0.000202644,0.001266382,0.001273781,0.001403273,0.001427865,0.001401292,0.001362129,0.001264621,0.00130385,0.001076061,0.001198853
