Country_code_A3,Name,Substance,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ABW,Aruba,CO2,950.9880941,977.166414,996.5117898,1288.471086,1338.638889,1377.27413,1339.132001,1369.656688,1288.139642,1387.899058,1345.968976,1286.369279,1637.822831,1605.689731,1633.58442,1626.23405,1597.398255,1335.792882,1366.614574,1404.705123,1166.018409
AFG,Afghanistan,CO2,3504.449671,3456.670869,3967.05003,4382.530772,4027.989583,5001.569608,4949.225837,5880.817069,7366.305492,10791.18753,12061.63762,15573.2241,14462.28881,12796.26848,12478.10878,12551.08767,11760.79938,12117.69374,12736.81183,12215.71709,12525.01133
AGO,Angola,CO2,34104.66959,34184.39714,34324.97698,36045.57175,36788.07882,35325.28345,36353.19347,37491.02093,39679.77403,42655.5641,44770.49944,46455.16848,45747.27698,51282.17427,53677.19199,56211.79289,55507.49308,51285.30007,49702.30585,51343.73554,49153.12691
AIA,Anguilla,CO2,15.53153371,15.91075851,10.85891545,14.10781774,13.47189009,13.66161642,12.81244341,12.35472912,15.26847719,20.16095787,24.00449613,26.00805487,26.02322758,27.94051199,27.89606068,28.00542611,28.33988089,29.06244509,28.22299426,27.57999313,22.77948761
AIR,Int. Aviation,CO2,352628.8292,346128.0979,366703.2383,364670.144,393904.6399,418838.7904,434148.6542,448063.4932,455899.9822,434205.4923,458205.0418,472112.4083,472721.1187,480909.1262,496627.6965,524654.0345,548207.7774,582230.4897,609630.4816,617763.2293,338144.0834
ALB,Albania,CO2,4459.571897,4647.513871,5208.678792,5163.579817,5515.47951,5267.495304,5225.143163,5270.311646,5246.886972,5322.543477,5588.209069,5999.725996,5552.760992,5768.874245,6132.941803,5973.175769,5732.06428,6375.06369,6413.341464,6153.321435,5823.438133
ANT,Netherlands Antilles,CO2,5670.832893,5708.378907,5462.690116,5478.935282,5721.185912,6032.200307,5938.961771,6451.530792,6385.793401,5986.949446,4435.063336,5683.879999,5130.824005,4685.495472,5258.290891,5311.484306,4549.638271,3619.473578,2877.02226,2210.519648,1831.085097
ARE,United Arab Emirates,CO2,88602.09792,101417.8985,103693.6925,108997.7952,115244.7483,122708.3819,127480.0787,137474.7458,164590.167,165719.1549,172341.4696,176644.4999,186280.4758,195830.0175,197454.8515,208010.2104,212772.1517,208899.0736,188126.8634,199501.7823,189510.7209
ARG,Argentina,CO2,188652.272,185010.7824,177763.7434,196076.8784,210895.9508,214303.5826,224648.3799,238088.9278,246785.6871,223378.3747,245540.6073,261557.2703,258991.336,267559.0246,269735.6799,274226.3102,276035.5582,281637.8668,274346.7309,272683.3954,259387.1023
ARM,Armenia,CO2,3768.053163,3843.701408,3323.313866,3691.211659,3981.867702,4663.971819,4692.721217,5421.958884,5918.240054,4771.85884,4571.060604,5215.620984,5999.601879,5702.551158,5813.986093,6051.657008,6018.366393,6314.390966,6361.73478,6730.649658,6855.562752
ATG,Antigua and Barbuda,CO2,493.1585091,490.8108649,534.024647,708.7842944,725.2396228,712.3486369,724.1436749,747.0229584,751.5644389,839.310791,856.7381252,983.6867934,1061.74023,1065.390687,1099.850511,1082.731516,1095.924203,781.2131016,853.5705213,846.7415873,698.8657681
AUS,Australia,CO2,429698.7628,439882.6314,459239.6741,433108.6344,456574.9832,454808.6058,456394.0538,456560.086,469103.1861,485785.1762,491375.8831,488877.4198,491514.7548,486030.4017,473583.6177,484847.5147,491012.53,491231.1816,477070.6206,471567.2104,439813.3415
AUT,Austria,CO2,81986.80453,87877.42579,88420.68818,94086.63374,95513.8773,98921.50741,99129.92987,98280.99034,98805.91624,92878.63113,100979.6574,98802.60358,96800.32514,97552.90604,93426.3814,95367.30434,96411.19686,98677.31806,94492.73866,96260.74927,87981.71174
AZE,Azerbaijan,CO2,28447.21251,27160.24275,26958.55632,29468.21151,29157.41839,31006.20779,31418.3622,28793.03527,31795.50895,26746.42938,25435.95825,28776.50993,31660.51322,32717.35311,33957.29122,33534.93102,33738.75476,33540.07787,34491.65163,37411.68503,36883.04024
BDI,Burundi,CO2,7403.975407,10248.01141,10452.42,10668.26534,10909.18264,11050.1342,11173.20812,11626.41734,11691.32954,11977.18358,12346.66741,12622.89551,8459.288013,9149.054624,9159.419598,9266.117147,9566.111424,9682.155915,9978.899053,10259.09179,10117.78163
BEL,Belgium,CO2,128548.9143,129866.3863,122506.5424,128120.2541,127571.6101,124139.1644,123212.1389,120286.9977,123265.1063,116476.0628,127329.9002,116615.5436,116411.1919,118295.7437,110520.3406,115564.9857,115236.937,114036.2293,114497.9908,113578.8984,104438.2332
BEN,Benin,CO2,7310.880172,7754.767109,8290.703718,8618.359432,8970.188838,9409.451456,11064.33031,11842.51566,12107.9918,12697.53832,12280.16724,12330.34454,12358.66317,13531.05071,14190.81141,14756.6244,16399.51782,16772.59645,18298.34348,18596.36292,18428.16679
BFA,Burkina Faso,CO2,11255.34308,12244.73435,10758.85677,11319.95111,13225.83994,16644.99353,17203.7099,18281.85729,20307.79579,20447.97949,21030.49751,21075.29591,22910.05789,23772.63829,23681.04083,25167.62345,25915.8307,26939.50031,28175.58507,28984.43172,29300.23477
BGD,Bangladesh,CO2,78338.40073,83621.42014,87416.14023,88996.26069,90752.15878,94202.09784,97987.86567,101416.5556,107245.7761,110367.6806,117112.6503,121209.3651,124787.7013,127650.8338,131451.9005,141253.6735,142820.5293,148968.2879,153668.8256,162375.2395,161462.4351
